lambda,flux
5026.3024,6.114988e-14
5028.0482,5.987965e-14
5029.7940,5.916951e-14
5031.5398,5.878945e-14
5033.2856,5.869943e-14
5035.0314,5.840937e-14
5036.7772,5.878945e-14
5038.5230,5.935955e-14
5040.2688,6.016970e-14
5042.0145,6.094984e-14
5043.7603,6.137992e-14
5045.5061,6.177999e-14
5047.2519,6.264916e-14
5048.9977,6.451950e-14
5050.7435,6.492957e-14
5052.4893,6.463952e-14
5054.2351,6.487957e-14
5055.9809,6.392939e-14
5057.7266,6.330928e-14
5059.4724,6.341930e-14
5061.2182,6.264916e-14
5062.9640,6.234910e-14
5064.7098,6.174999e-14
5066.4556,6.062978e-14
5068.2014,6.144994e-14
5069.9472,6.040975e-14
5071.6930,5.952958e-14
5073.4387,5.874944e-14
5075.1845,5.814933e-14
5076.9303,5.843938e-14
5078.6761,5.932955e-14
5080.4219,6.069980e-14
5082.1677,6.262916e-14
5083.9135,6.419945e-14
5085.6593,6.391939e-14
5087.4051,6.350932e-14
5089.1508,6.337929e-14
5090.8966,6.254914e-14
5092.6424,6.152995e-14
5094.3882,6.055977e-14
5096.1340,6.019971e-14
5097.8798,6.038974e-14
5099.6256,6.054977e-14
5101.3714,6.133992e-14
5103.1172,6.125990e-14
5104.8629,6.108987e-14
5106.6087,6.165997e-14
5108.3545,6.250913e-14
5110.1003,6.286920e-14
5111.8461,6.296922e-14
5113.5919,6.299922e-14
5115.3377,6.198904e-14
5117.0835,6.060978e-14
5118.8293,5.945957e-14
5120.5750,5.876944e-14
5122.3208,5.931955e-14
5124.0666,6.041975e-14
5125.8124,6.078981e-14
5127.5582,6.132992e-14
5129.3040,6.125990e-14
5131.0498,6.085983e-14
5132.7956,6.014969e-14
5134.5414,6.012969e-14
5136.2871,5.962960e-14
5138.0329,5.973962e-14
5139.7787,5.897948e-14
5141.5245,5.854940e-14
5143.2703,5.933955e-14
5145.0161,5.953959e-14
5146.7619,6.013969e-14
5148.5077,6.008968e-14
5150.2535,5.970962e-14
5151.9992,5.925953e-14
5153.7450,5.863942e-14
5155.4908,5.655904e-14
5157.2366,5.455967e-14
5158.9824,5.152911e-14
5160.7282,4.924969e-14
5162.4740,4.670922e-14
5164.2198,4.549000e-14
5165.9656,4.527996e-14
5167.7113,4.578905e-14
5169.4571,4.725932e-14
5171.2029,4.875960e-14
5172.9487,4.930970e-14
